"","BookPercent","BetHorse","BestHorse","NextHorse","RatioLeaders","WinLoss","Winner","Change","Total","Fstat"
"1",81.25,2,2,NA,NA,1,2,6000,65267,NA
"2",71.65,3,3,NA,NA,1,3,30000,95267,NA
"3",62.06,5,5,NA,NA,1,5,20000,115267,NA
"4",100.79,29,1,NA,NA,0,7,-200,115067,NA
"5",99.86,1,1,NA,NA,0,10,-700,114367,NA
"6",92.9,9,2,NA,NA,0,2,-400,113967,NA
"7",79.15,2,2,NA,NA,0,10,-10000,103967,NA
"8",115.26,10,1,NA,NA,0,1,-100,103867,NA
"9",108.08,2,1,NA,NA,0,1,-300,103567,NA
"10",74.85,2,2,NA,NA,1,2,20000,123567,NA
"11",74.97,4,4,NA,NA,0,5,-7000,116567,NA
"12",99.36,6,2,NA,NA,0,2,-300,116267,NA
"13",79.89,2,2,NA,NA,0,5,-10000,106267,NA
"14",83.15,2,2,NA,NA,1,2,16000,122267,NA
"15",84.14,2,2,NA,NA,0,24,-9000,113267,NA
"16",94.37,1,1,NA,NA,0,5,-5500,107767,NA
"17",78.34,2,2,NA,NA,1,2,20000,127767,NA
"18",121.62,1,1,1,1,0,1,-300,127467,121.62
"19",104.5,1,1,NA,NA,1,1,400,127867,NA
"20",63.9,4,4,NA,NA,0,10,-3000,124867,NA
"21",72.06,3,3,3,1,0,3,-1500,123367,72.06
"22",69.23,3,3,NA,NA,1,3,30000,153367,NA
"23",101.07,1,1,NA,NA,0,7,-500,152867,NA
"24",82.79,2,2,NA,NA,0,12,-3000,149867,NA
"25",97.22,1,1,NA,NA,1,1,600,150467,NA
"26",76.98,2,2,NA,NA,1,2,20000,170467,NA
"27",67.33,3,3,NA,NA,0,5,-10000,160467,NA
"28",102.14,3,1,NA,NA,0,1,-300,160167,NA
"29",62.93,3,3,NA,NA,0,23,-10000,150167,NA
"30",72.79,3,3,3,1,0,3,-10000,140167,72.79
"31",72.08,2,2,NA,NA,0,5,-10000,130167,NA
"32",68.29,3,3,NA,NA,1,3,30000,160167,NA
"33",72.67,3,3,NA,NA,1,3,30000,190167,NA
"34",61.93,4,4,NA,NA,0,9,-10000,180167,NA
"35",72.39,3,3,3,1,0,3,-4000,176167,72.39
"36",73.16,2,2,NA,NA,1,2,20000,196167,NA
"37",88.3,2,2,NA,NA,0,3,-5000,191167,NA
"38",110.79,7,1,NA,NA,0,1,-300,190867,NA
"39",88.43,2,2,NA,NA,0,26,-1500,189367,NA
"40",67.3,3,3,NA,NA,0,5,-10000,179367,NA
"41",82.28,2,2,NA,NA,0,28,-10000,169367,NA
"42",111.05,1,1,NA,NA,0,9,-300,169067,NA
"43",84.09,2,2,NA,NA,0,6,-10000,159067,NA
"44",59.49,2,2,NA,NA,1,2,20000,179067,NA
"45",86.37,3,2,NA,NA,0,2,-1000,178067,NA
"46",85.41,3,2,NA,NA,0,2,-2500,175567,NA
"47",102.92,1,1,NA,NA,1,1,600,176167,NA
"48",87.14,3,2,NA,NA,0,2,-2000,174167,NA
"49",63.63,4,4,NA,NA,0,7,-10000,164167,NA
"50",102.63,28,1,NA,NA,0,6,-300,163867,NA
"51",99.63,7,1,NA,NA,0,1,-1000,162867,NA
"52",98.18,1,1,NA,NA,1,1,500,163367,NA
"53",95.9,1,1,NA,NA,1,1,600,163967,NA
"54",97.44,1,1,NA,NA,1,1,20000,183967,NA
"55",68.38,3,3,4,1.25,0,13,-10000,173967,54.7
"56",99.33,1,1,4,2.5,0,17,-5000,168967,39.73
"57",105.06,1,1,2,1.5,1,1,300,169267,70.04
"58",123.99,1,1,1,1,0,1,-100,169167,123.99
"59",128.75,7,1,1,1,0,1,-100,169067,128.75
"60",131.94,1,1,1,1,1,1,100,169167,131.94
"61",80.48,2,2,4,1.666666667,1,2,20000,189167,48.29
"62",73.97,3,3,4,1.25,1,3,18000,207167,59.18
"63",62.41,4,4,5,1.2,0,5,-5000,202167,52.01
"64",95.51,2,2,2,1,0,13,-100,202067,95.51
"65",62.79,5,4,5,1.2,0,13,-6000,196067,52.33
"66",98.75,1,1,3,2,0,18,-10000,186067,49.38
"67",75.71,3,3,4,1.25,0,4,-4000,182067,60.57
"68",111.99,1,1,2,1.5,1,1,1000,183067,74.66
"69",81.42,2,2,4,1.666666667,0,6,-7000,176067,48.85
"70",88.29,2,2,2,1,0,2,-1000,175067,88.29
"71",89.42,1,1,5,3,1,1,10000,185067,29.81
"72",73.46,3,3,3,1,0,3,-5000,180067,73.46
"73",112.13,1,1,2,1.5,1,1,1000,181067,74.75
"74",80.66,2,2,5,2,0,5,-10000,171067,40.33
"75",77.57,2,2,4,1.666666667,0,10,-7000,164067,46.54
"76",68.02,3,3,5,1.5,0,9,-7000,157067,45.35
"77",73.53,3,3,5,1.5,0,18,-7000,150067,49.02
"78",74.05,2,2,4,1.666666667,1,2,20000,170067,44.43
"79",74.4,2,2,5,2,0,8,-10000,160067,37.2
"80",86.29,2,2,3,1.333333333,0,27,-4000,156067,64.72
"81",120.27,30,1,1,1,0,1,-100,155967,120.27
"82",63.94,3,3,5,1.5,1,3,21000,176967,42.63
"83",68.94,3,3,4,1.25,0,4,-4000,172967,55.15
"84",86.91,2,2,3,1.333333333,1,2,4000,176967,65.18
"85",70.87,3,3,5,1.5,1,3,21000,197967,47.25
"86",100.49,1,1,4,2.5,1,1,10000,207967,40.2
"87",62.14,4,4,4,1,0,10,-2000,205967,62.14
"88",92.6,1,1,4,2.5,0,17,-10000,195967,37.04
"89",100.48,1,1,3,2,1,1,7000,202967,50.24
"90",78.29,2,2,4,1.666666667,0,18,-7000,195967,46.97
"91",85.68,2,2,3,1.333333333,0,3,-4000,191967,64.26
"92",94.64,1,1,4,2.5,1,1,10000,201967,37.86
"93",100.13,1,1,3,2,1,1,7000,208967,50.07
"94",89.1,2,2,3,1.333333333,0,3,-4000,204967,66.83
"95",96.99,1,1,3,2,1,1,7000,211967,48.5
"96",54.07,5,5,5,1,1,5,17500,229467,54.07
"97",115.28,1,1,2,1.5,1,1,1000,230467,76.85
"98",71.52,3,3,4,1.25,1,3,12000,242467,57.22
"99",68.41,3,3,5,1.5,0,5,-7000,235467,45.61
"100",89.84,2,2,3,1.333333333,0,12,-1000,234467,67.38
"101",76.21,2,2,5,2,1,2,20000,254467,38.11
"102",102.7,1,1,3,2,1,1,7000,261467,51.35
"103",106.96,1,1,3,2,1,1,7000,268467,53.48
"104",92.41,2,2,3,1.333333333,1,2,2000,270467,69.31
"105",73.3,2,2,5,2,0,5,-10000,260467,36.65
"106",104.09,1,1,3,2,0,12,-7000,253467,52.05
"107",66.41,4,4,5,1.2,0,8,-7000,246467,55.34
"108",65.62,3,3,4,1.25,0,12,-7000,239467,52.5
"109",81.88,2,2,3,1.333333333,1,2,8000,247467,61.41
"110",99.09,1,1,3,2,1,1,7000,254467,49.55
"111",93.99,1,1,5,3,1,1,10000,264467,31.33
"112",91.03,1,1,5,3,0,5,-10000,254467,30.34
"113",97.04,1,1,5,3,0,12,-10000,244467,32.35
"114",84.96,2,2,3,1.333333333,0,3,-4000,240467,63.72
"115",63.08,4,4,4,1,0,21,-2000,238467,63.08
"116",81.49,2,2,5,2,1,2,20000,258467,40.75
"117",66.48,4,4,5,1.2,0,8,-7000,251467,55.4
"118",96.11,2,2,2,1,0,2,-100,251367,96.11
"119",107.48,1,1,2,1.5,1,1,1000,252367,71.65
"120",81.84,2,2,4,1.666666667,0,18,-4000,248367,49.1
"121",97.5,2,2,2,1,0,2,-2500,245867,97.5
"122",100.13,1,1,3,2,1,1,4000,249867,50.07
"123",91.82,1,1,4,2.5,0,4,-10000,239867,36.73
"124",130.75,28,1,1,1,0,1,-100,239767,130.75
"125",84.95,2,2,4,1.666666667,1,2,8000,247767,50.97
"126",77.07,3,3,3,1,0,15,-100,247667,77.07
"127",64.96,3,3,5,1.5,1,3,21000,268667,43.31
"128",81.62,2,2,5,2,0,8,-7000,261667,40.81
"129",71.29,3,3,5,1.5,1,3,12000,273667,47.53
"130",94.67,1,1,4,2.5,1,1,10000,283667,37.87
"131",120.71,1,1,1,1,0,13,-100,283567,120.71
"132",105.88,1,1,4,2.5,1,1,7000,290567,42.35
"133",97.98,1,1,4,2.5,0,9,-7000,283567,39.19
"134",67.66,4,4,4,1,0,7,-100,283467,67.66
"135",76.25,3,3,3,1,1,3,300,283767,76.25
"136",71.25,4,4,5,1.2,0,7,-1000,282767,59.38
"137",78.98,2,2,4,1.666666667,1,2,14000,296767,47.39
"138",82.05938697,2,2,4,1.666666667,0,8,-5000,291767,49.23563218
"139",109.98076,1,1,2,1.5,1,1,100,291867,73.32050665
"140",107.8324916,1,1,2,1.5,1,1,100,291967,71.88832772
"141",112.1428571,1,1,2,1.5,1,1,100,292067,74.76190476
"142",69.92424242,3,3,5,1.5,0,19,-10000,282067,46.61616162
"143",57.0316092,5,5,5,1,0,5,-500,281567,57.0316092
"144",76.66454163,3,3,3,1,1,3,800,282367,76.66454163
"145",105.3581594,1,1,2,1.5,1,1,2500,284867,70.23877293
"146",108.5349462,1,1,2,1.5,1,1,1000,285867,72.35663082
"147",83.48901099,2,2,3,1.333333333,1,2,8000,293867,62.61675824
"148",71.2703962703963,3,3,4,1.25,0,10,-5500,288367,57.016317016317
"149",66.6600640738572,3,3,5,1.5,0,5,-7000,281367,44.4400427159048
"150",63.9105339105339,4,4,5,1.2,1,4,22000,303367,53.2587782587783
"151",94.47391688771,2,2,2,1,1,2,200,303567,94.47391688771
"152",84.8225448679169,2,2,3,1.33333333333333,1,2,5000,308567,63.6169086509377
"153",77.7016129032258,2,2,3,1.33333333333333,0,3,-4000,304567,58.2762096774194
"154",89.7157054415119,2,2,3,1.33333333333333,0,8,-2500,302067,67.2867790811339
"155",68.5714285714286,3,3,5,1.5,1,3,21000,323067,45.7142857142857
"156",72.2293447293447,2,2,5,2,1,2,20000,343067,36.1146723646724
"157",109.753968253968,1,1,2,1.5,0,2,-1000,342067,73.1693121693122
"158",65.2275910364146,3,3,5,1.5,0,5,-8500,333567,43.485060690943
"159",84.9206349206349,2,2,3,1.33333333333333,1,2,5000,338567,63.6904761904762
"160",62.346685572492,4,4,4,1,0,14,-1500,337067,62.346685572492
"161",69.6040669856459,3,3,4,1.25,0,4,-4000,333067,55.6832535885167
"162",112.792270531401,1,1,2,1.5,0,94,-1000,332067,75.194847020934
"163",106.310924369748,1,1,3,2,1,1,5500,337567,53.1554621848739
"164",104.813004183714,1,1,3,2,1,1,5500,343067,52.4065020918568
"165",100.672105672106,1,1,3,2,0,17,-7000,336067,50.3360528360528
"166",86.1822660098522,2,2,3,1.33333333333333,1,2,5000,341067,64.6366995073892
"167",82.4908424908425,2,2,4,1.66666666666667,0,4,-7000,334067,49.4945054945055
"168",92.442645074224,1,1,4,2.5,0,4,-10000,324067,36.9770580296896
"169",77.9761904761905,2,2,4,1.66666666666667,0,4,-7000,317067,46.7857142857143
"170",76.9700854700855,3,3,3,1,0,3,-100,316967,76.9700854700855
"171",95.1744663382594,1,1,3,2,0,3,-7000,309967,47.5872331691297
"172",104.166666666667,1,1,3,2,0,1,5500,315467,52.0833333333333
"173",79.4289949181254,3,3,3,1,0,3,-100,315367,79.4289949181254
"174",83.1481481481482,2,2,4,1.66666666666667,0,8,-7000,308367,49.8888888888889
"175",68.8607270865335,4,4,5,1.2,0,5,-4000,304367,57.383939238778
"176",77.9554655870445,2,2,5,2,0,19,-8500,295867,38.9777327935223
"177",80.025641025641,2,2,3,1.33333333333333,0,3,-4000,291867,60.0192307692308
"178",108.031609195402,1,1,2,1.5,1,1,1000,292867,72.0210727969349
"179",75.021645021645,2,2,4,1.66666666666667,0,13,-7000,285867,45.012987012987
"180",79.2676767676768,3,3,3,1,1,3,300,286167,79.2676767676768
"181",132.088057133429,1,1,1,1,1,1,100,286267,132.088057133429
"182",80.9639016897081,2,2,4,1.66666666666667,1,2,14000,300267,48.5783410138249
"183",78.1573498964803,2,2,5,2,1,2,17000,317267,39.0786749482402
"184",87.2285067873303,2,2,3,1.33333333333333,1,2,5000,322267,65.4213800904977
"185",62.4062093820158,3,3,5,1.5,1,3,25500,347767,41.6041395880106
"186",79.0098307489612,2,2,4,1.66666666666667,0,4,-7000,340767,47.4058984493767
"187",71.7631578947368,4,4,4,1,0,9,-500,340267,71.7631578947368
"188",93.6262393520458,1,1,4,2.5,1,1,20000,360267,37.4504957408183
"189",71.3214285714286,3,3,4,1.25,1,3,12000,372267,57.0571428571429
"190",114.697667923474,1,1,2,1.5,1,1,1000,373267,76.4651119489829
"191",71.9871444009375,3,3,3,1,1,3,1500,374767,71.9871444009375
"192",103.517126148705,1,1,3,2,1,1,5500,380267,51.7585630743526
"193",121.227106227106,1,1,1,1,1,1,100,380367,121.227106227106
"194",79.4370629370629,2,2,5,2,0,7,-8500,371867,39.7185314685315
"195",100.586080586081,1,1,4,2.5,0,4,-8500,363367,40.2344322344322
"196",81.8981593119524,2,2,3,1.33333333333333,0,3,-2500,360867,61.4236194839643
"197",131.014492753623,1,1,1,1,0,1,-100,360767,131.014492753623
"198",115.659668885475,1,1,2,1.5,1,1,100,360867,77.1064459236502
"199",100.168067226891,1,1,4,2.5,1,1,8500,369367,40.0672268907563
"200",105.979344729345,1,1,2,1.5,0,19,-1000,368367,70.6528964862298
"201",105.62030075188,1,1,4,2.5,0,7,-8500,359867,42.2481203007519
"202",97.4792751108541,2,2,2,1,0,2,-100,359767,97.4792751108541
"203",59.0979387053241,4,4,5,1.2,0,5,-7000,352767,49.2482822544368
"204",99.8484848484848,1,1,3,2,1,1,-7000,345767,49.9242424242424
"205",67.5132275132275,3,3,4,1.25,1,3,16500,362267,54.010582010582
"206",107.275641025641,1,1,2,1.5,1,1,1000,363267,71.517094017094
"207",85.5012531328321,2,2,3,1.33333333333333,0,18,-2500,360767,64.1259398496241
"208",94.336917562724,2,2,2,1,0,2,-100,360667,94.336917562724
"209",81.9656862745098,2,2,4,1.66666666666667,1,2,14000,374667,49.1794117647059
"210",70.3581593927894,3,3,4,1.25,1,3,12000,386667,56.2865275142315
"211",58.2954545454545,4,4,5,1.2,1,4,28000,414667,48.5795454545455
"212",96.5097402597403,1,1,3,2,1,1,7000,421667,48.2548701298701
"213",78.7619047619048,2,2,5,2,1,2,17000,438667,39.3809523809524
"214",98.0843230843231,1,1,3,2,0,3,-7000,431667,49.0421615421615
"215",90.6111432427222,1,1,5,3,0,5,-10000,421667,30.2037144142407
"216",111.525641025641,1,1,2,1.5,0,24,-1000,420667,74.3504273504274
"217",68.9811066126856,3,3,4,1.25,1,3,12000,432667,55.1848852901485
"218",66.2606837606838,4,4,5,1.2,0,25,-4000,428667,55.2172364672365
"219",78.6226318484383,3,3,4,1.25,0,4,-2500,426167,62.8981054787506
"220",88.5277202668507,2,2,2,1,1,2,-200,425967,88.5277202668507
"221",74.336917562724,3,3,3,1,0,3,-500,425467,74.336917562724
"222",74.3713639301875,3,3,4,1.25,0,13,-4000,421467,59.49709114415
"223",81.4913273001508,2,2,3,1.33333333333333,0,3,-4000,417467,61.1184954751131
"224",75.5490387748452,2,2,5,2,1,2,20000,437467,37.7745193874226
"225",92.314125539932,1,1,4,2.5,0,1,10000,447467,36.9256502159728
"226",67.5407925407925,3,3,5,1.5,1,3,21000,468467,45.027195027195
"227",74.5507733007733,2,2,4,1.66666666666667,0,27,-7000,461467,44.730463980464
"228",88.5526038372338,2,2,3,1.33333333333333,0,8,-2500,458967,66.4144528779254
"229",93.7068004459309,1,1,5,3,1,1,10000,468967,31.2356001486436
"230",67.8237448825684,4,4,5,1.2,0,25,-4000,464967,56.5197874021404
"231",82.2293447293447,2,2,4,1.66666666666667,0,7,-7000,457967,49.3376068376068
"232",81.6619536377601,2,2,3,1.33333333333333,0,3,-2500,455467,61.2464652283201
"233",77.0670995670996,2,2,4,1.66666666666667,1,2,14000,469467,46.2402597402597
"234",96.3649425287356,1,1,4,2.5,0,7,-10000,459467,38.5459770114943
"235",109.375712007291,1,1,2,1.5,1,1,1000,460467,72.917141338194
"236",55.1432806324111,5,5,5,1,0,5,-3000,457467,55.1432806324111
"237",101.181272038657,1,1,3,2,0,3,-5500,451967,50.5906360193287
"238",108.545454545455,1,1,2,1.5,1,1,1000,452967,72.3636363636364
"239",82.2328548644338,2,2,4,1.66666666666667,0,21,-7000,445967,49.3397129186603
"240",77.219696969697,2,2,4,1.66666666666667,0,4,-7000,438967,46.3318181818182
"241",104.285714285714,1,1,4,2.5,1,1,8500,447467,41.7142857142857
"242",90.0203962703963,1,1,5,3,1,1,10000,457467,30.0067987567988
"243",68.5961768219833,3,3,4,1.25,0,4,-4000,453467,54.8769414575866
"244",66.4969241285031,3,3,5,1.5,1,3,16500,469967,44.3312827523354
"245",88.5432667690732,2,2,3,1.33333333333333,1,2,2000,471967,66.4074500768049
"246",61.443613857407,4,4,5,1.2,0,5,-5500,466467,51.2030115478391
"247",84.2592592592593,2,2,3,1.33333333333333,0,14,-2500,463967,63.1944444444444
"248",74.9603174603175,3,3,4,1.25,0,4,-4000,459967,59.968253968254
"249",109.291005291005,1,1,2,1.5,1,1,2000,461967,72.8606701940035
"250",82.0617788009092,2,2,3,1.33333333333333,0,12,-2500,459467,61.5463341006819
"251",98.9523809523809,1,1,5,3,1,1,10000,469467,32.984126984127
"252",67.3636991028295,3,3,5,1.5,0,22,-5500,463967,44.9091327352197
"253",76.8650793650794,2,2,5,2,0,13,-10000,453967,38.4325396825397
"254",64.6820420958352,4,4,4,1,0,19,-1500,452467,64.6820420958352
"255",110.668498168498,1,1,2,1.5,1,1,10000,462467,73.7789987789988
"256",64.6820420958352,4,4,4,1,0,19,-1500,460967,64.6820420958352
